Current (uA),rx timestamp (us),board timestamps (ms)
904.7,1039849,1000
906.6,1039849,1000
904.8,1041846,1000
906.4,1041846,1000
906.2,1043800,1000
908.3,1043800,1000
909.7,1045802,1000
906.1,1045802,1000
907.7,1047094,1000
905.2,1047094,1000
906.7,1049135,1000
907.5,1049135,1000
906.5,1051095,1000
908.2,1051095,1000
905.4,1053136,1000
905.7,1053136,1000
901.3,1055155,1000
907.2,1055155,1000
905.2,1057582,1000
906.3,1059643,1000
906.5,1059643,1000
909.6,1061632,1000
904.6,1061632,1000
905.4,1062633,1000
908.9,1063622,1000
908.8,1064619,1000
909.7,1065632,1000
904.7,1068037,1000
906.7,1068037,1000
908.3,1069539,1000
906.9,1069539,1000
904.2,1071324,1000
908.4,1071960,1000
903.9,1073523,1000
906.2,1073523,1000
907.1,1075513,1000
905.1,1075513,1000
910.5,1077551,1000
907.2,1077846,1000
904.7,1079487,1000
907.2,1079487,1000
907.4,1081513,1000
908.3,1081513,1000
907.2,1083433,1000
905.5,1083433,1000
906.0,1085437,1000
907.7,1085437,1000
905.9,1087686,1000
909.6,1087686,1000
907.6,1089409,1000
908.3,1089409,1000
908.7,1091437,1000
907.7,1091437,1000
908.9,1093368,1000
907.7,1093368,1000
907.6,1095365,1000
908.6,1095365,1000
905.2,1097343,1000
906.6,1097992,1000
908.5,1099339,1000
905.3,1099339,1000
909.1,1101364,1000
907.4,1101364,1000
907.1,1103322,1000
901.8,1103322,1000
907.6,1105305,1000
906.1,1105305,1000
903.6,1107449,1000
904.8,1107818,1000
909.4,1109029,1000
904.1,1109029,1000
909.6,1111008,1000
909.0,1111008,1000
904.7,1113041,1000
908.4,1113041,1000
909.0,1115038,1000
909.4,1115038,1000
908.7,1117301,1000
903.2,1117618,1000
908.9,1118728,1000
907.7,1118728,1000
906.7,1120704,1000
908.9,1120704,1000
909.9,1122722,1000
909.1,1122722,1000
905.3,1124765,1000
904.7,1124765,1000
908.8,1126702,1000
909.9,1126702,1000
904.4,1129061,1000
902.5,1129061,1000
903.2,1131009,1000
909.6,1131009,1000
904.3,1133229,1000
907.1,1133229,1000
907.4,1135238,1000
907.3,1135238,1000
909.9,1137241,1000
907.9,1137605,1000
909.8,1138965,1000
907.5,1138965,1000
903.8,1141044,1000
909.9,1141044,1000
904.9,1142984,1000
906.2,1142984,1000
907.6,1144982,1000
909.9,1144982,1000
907.6,1146981,1000
906.4,1146981,1000
907.5,1148550,1000
904.3,1148550,1000
909.9,1150750,1000
908.3,1150750,1000
908.1,1153080,1000
907.5,1153080,1000
907.0,1155155,1000
909.9,1155155,1000
